from,to,payment,relationship,pattern
BeckinsaleKate,TheGoldenBowl,99,99,99
HannahDaryl,BladeRunner,99,99,99
HannahDaryl,KillBillVol1,99,99,99
HannahDaryl,WallStreet,99,99,99
HayekSalma,Frida,99,99,99
HeadeyLena,Possession,99,99,99
JuddAshley,Frida,99,99,99
McGowanRose,McGowanRose,99,99,99
NielsenConnie,NymphomaniacVol1,99,99,99
PaltrowGwyneth,Possession,99,99,99
ThurmanUma,EvenCowgirlsGetTheBlues,99,99,99
ThurmanUma,KillBillVol1,99,99,99
ThurmanUma,NymphomaniacVol1,99,99,99
ThurmanUma,TheGoldenBowl,99,99,99
YoungSean,BladeRunner,99,99,99
YoungSean,EvenCowgirlsGetTheBlues,99,99,99
YoungSean,WallStreet,99,99,99
BeckinsaleKate,BeckinsaleKate,0,99,1
HannahDaryl,HannahDaryl,0,99,0
HayekSalma,HayekSalma,0,99,1
HeadeyLena,HeadeyLena,0,99,1
JuddAshley,JuddAshley,1,99,1
McGowanRose,McGowanRose,1,99,1
NielsenConnie,NielsenConnie,0,99,0
PaltrowGwyneth,PaltrowGwyneth,0,99,1
ThurmanUma,ThurmanUma,0,99,0
YoungSean,YoungSean,0,99,0
HayekSalma,PaltrowGwyneth,99,1,99
ThurmanUma,HannahDaryl,99,2,99
HannahDaryl,ThurmanUma,99,2,99
JuddAshley,HayekSalma,99,2,99
HayekSalma,JuddAshley,99,2,99
HayekSalma,McGowanRose,99,2,99
BeckinsaleKate,McGowanRose,99,2,99
McGowanRose,HayekSalma,99,2,99
McGowanRose,ThurmanUma,99,2,99
HannahDaryl,HayekSalma,99,3,99
YoungSean,HannahDaryl,99,3,99
JuddAshley,HayekSalma,99,3,99
PaltrowGwyneth,BeckinsaleKate,99,3,99
PaltrowGwyneth,HayekSalma,99,3,99
HayekSalma,JuddAshley,99,3,99
HayekSalma,PaltrowGwyneth,99,3,99
BeckinsaleKate,PaltrowGwyneth,99,3,99
PaltrowGwyneth,ThurmanUma,99,4,99
PaltrowGwyneth,HayekSalma,99,4,99
BeckinsaleKate,HeadeyLena,99,4,99
McGowanRose,ThurmanUma,99,4,99
McGowanRose,HayekSalma,99,4,99
McGowanRose,BeckinsaleKate,99,4,99
HeadeyLena,BeckinsaleKate,99,4,99
