from,to,relationship
BeckinsaleKate,TheGoldenBowl,99
BeckinsaleKate,McGowanRose,2
BeckinsaleKate,PaltrowGwyneth,3
BeckinsaleKate,HeadeyLena,4
HannahDaryl,BladeRunner,99
HannahDaryl,KillBillVol1,99
HannahDaryl,WallStreet,99
HannahDaryl,ThurmanUma,2
HannahDaryl,HayekSalma,3
HayekSalma,Frida,99
HayekSalma,PaltrowGwyneth,1
HayekSalma,JuddAshley,2
HayekSalma,McGowanRose,2
HayekSalma,JuddAshley,3
HayekSalma,PaltrowGwyneth,3
HeadeyLena,Possession,99
HeadeyLena,BeckinsaleKate,4
JuddAshley,Frida,99
JuddAshley,HayekSalma,2
JuddAshley,HayekSalma,3
McGowanRose,HayekSalma,2
McGowanRose,ThurmanUma,2
McGowanRose,ThurmanUma,4
McGowanRose,HayekSalma,4
McGowanRose,BeckinsaleKate,4
NielsenConnie,NymphomaniacVol1,99
PaltrowGwyneth,Possession,99
PaltrowGwyneth,BeckinsaleKate,3
PaltrowGwyneth,HayekSalma,3
PaltrowGwyneth,ThurmanUma,4
PaltrowGwyneth,HayekSalma,4
ThurmanUma,EvenCowgirlsGetTheBlues,99
ThurmanUma,KillBillVol1,99
ThurmanUma,NymphomaniacVol1,99
ThurmanUma,TheGoldenBowl,99
ThurmanUma,HannahDaryl,2
YoungSean,BladeRunner,99
YoungSean,EvenCowgirlsGetTheBlues,99
YoungSean,WallStreet,99
YoungSean,HannahDaryl,3
