id,name,type,production,year,sex,birth,ethnicity,frequency,pattern,payment
BeckinsaleKate,Kate Beckinsale,2,99,99,1,3,2,3,2,1
BladeRunner,Blade Runner,1,5,1,99,99,99,99,99,99
EvenCowgirlsGetTheBlues,Even Cowgirls Get the Blues,1,5,2,99,99,99,99,99,99
Frida,Frida,1,1,3,99,99,99,99,99,99
HannahDaryl,Daryl Hannah,2,99,99,1,1,7,2,1,1
HayekSalma,Salma Hayek,2,99,99,1,2,7,2,2,1
HeadeyLena,Lena Headey,2,99,99,1,3,2,2,2,1
JuddAshley,Ashley Judd,2,99,99,1,2,7,2,2,2
KillBillVol1,Kill Bill: Vol. 1,1,1,3,99,99,99,99,99,99
McGowanRose,Rose McGowan,2,99,99,1,3,3,3,2,2
NielsenConnie,Connie Nielsen,2,99,99,1,2,2,2,1,1
NymphomaniacVol1,Nymphomaniac: Vol. 1,1,5,4,99,99,99,99,99,99
PaltrowGwyneth,Gwyneth Paltrow,2,99,99,1,3,7,3,2,1
Possession,Possession,1,5,3,99,99,99,99,99,99
TheGoldenBowl,The Golden Bowl,1,1,3,99,99,99,99,99,99
ThurmanUma,Uma Thurman,2,99,99,1,2,7,3,1,1
WallStreet,Wall Street,1,5,1,99,99,99,99,99,99
YoungSean,Sean Young,2,99,99,1,1,7,2,1,1
